Correios Empresas - Relatorio de objetos postados

NOME EMPRESA;CNPJ;CONTRATO;DATA POSTAGEM
GREE ELETRIC APPLIANCES DO BRASIL LTDA;03.519.135/0001-56;9912589322;03/08/2026

NUMERO DO OBJETO;DATA PREVISTA;DATA ULTIMO EVENTO;ULTIMO STATUS
AD748276940BR;06/08/2026 23:59:59;06/08/2026 17:00:27;Objeto entregue ao destinatario
AD748352822BR;06/08/2026 23:59:59;06/08/2026 13:48:37;Objeto entregue ao destinatario
AD750109526BR;07/08/2026 23:59:59;07/08/2026 10:22:31;Objeto entregue ao destinatario
AD750123443BR;07/08/2026 23:59:59;07/08/2026 10:22:31;Objeto entregue ao destinatario
AD750132480BR;07/08/2026 23:59:59;07/08/2026 10:22:31;Objeto entregue ao destinatario
AD750159332BR;05/08/2026 23:59:59;05/08/2026 09:58:35;Objeto entregue ao destinatario
AD750209590BR;07/08/2026 23:59:59;06/08/2026 15:29:17;Objeto entregue ao destinatario
AD750145157BR;11/08/2026 23:59:59;07/08/2026 21:40:05;Objeto em transferencia - por favor aguarde
AD750251249BR;06/08/2026 23:59:59;07/08/2026 16:10:43;Objeto aguardando retirada no endereco indicado
AD748401951BR;07/08/2026 23:59:59;07/08/2026 11:23:49;Objeto encaminhado para retirada no endereco indicado
AD748322865BR;07/08/2026 23:59:59;07/08/2026 13:09:36;Objeto em transferencia - por favor aguarde
AD750176980BR;07/08/2026 23:59:59;08/08/2026 06:43:26;Objeto em transferencia - por favor aguarde
AD750194745BR;10/08/2026 23:59:59;04/08/2026 15:43:17;Objeto em transferencia - por favor aguarde
